,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
0,Cottonless Cottonwood,,,,"Cottonless Cottonwood spreads by root suckers, like Aspen Trees and is known for creating thickets for windbreaks.",3,-40°,,50,30-50,,,,,,,,0,,,,,
1,Red River Clump Birch,,,,"The River Birch is often chosen for its attractive bark and ability to resist disease. The colourful, peeling bark will add interest to a winter landscape. A good tree for landscaping properties, especially at the edges of ponds and streams or in low areas.",4,-30°,,40-70,40-60,,,,,,,,0,,,,,
2,Variegated Red Twig Dogwood,,,,"Variegated leaves, attractive berries, stunning fall color and showy red stems in winter make this a wonderful shrub for all seasons! Vigorous and adaptable, naturally forms a thicket of upright, blood red stems. White berries are often tinged blue or green. Ideal for naturalizing. Best color in full sun.",2,-50°,,8-Jun,44657,,,Spring - Early summer,,,,NATIVE; Deciduous; White Blossoms; Foliage: Variegated; Fall Foliage: Attractive; Attracts butterflies; Hedge,0,,,,,
3,White Fringetree,Chionanthus virginicus,,,Prized large shrub or small tree with upright branches forming dome shape. Soft green leaves back magnificent clusters of fringe-like blooms. A terrific accent for the landscape.,4,-30°,,20-25,25,,,Spring,,,,"Slow Growing; Fragrant; Deciduous; Easy Care; Extreme Cold Hardiness; Fall Color; Naturalizes Well, North American NATIVE Selection; Ornamental Berries; Tolerates Acidic Soil; Bird Friendly; Foliage: Green; Fall Foliage: Yellow",160,,,,,
4,FirstEditions Centennial Blush Magnolia,Magnolia loebneri,,,Pink buds open to incredibly full and wonderfully fragrant pale pink flowers in spring. Centennial Blush™ is a prolific bloomer with flower buds formed at almost every node yielding a fantastic floral display of delicate pink covering the entire plant.,4,-30°,,Fast growing to 12 -,,,,Spring,,,,"Deciduous; Though technically a tree, grow this big flowering Magnolia as a large shrub. Foliage: Medium green; Fall Foliage: Yellow to Bronze",40,,,,,
5,Leonard Messel Magnolia,Magnolia loebneri,,,"A delightful specimen that develops stunning, bi-colored, flowers on bare stems at an early age. The petals of the exquisite star magnolia-like blooms have rosy-purple undersides and crisp white topsides. Green foliage emerges after the flowers in spring. Excellent for use as a spectacular large shrub or small multi-trunk specimen tree.",4,-30°,,Slowly grows 10 to 1,,,,Spring,,,,Fragrant; Deciduous; Easy Care; Extreme Cold Hardiness; Foliage: Medium-green leaves; Fall Foliage: Bronze,100,,,,,
6,Merrill Magnolia,Magnolia loebneri,,,Vigorous-growing deciduous large shrub or small tree with dense branching habit. Large star-like flowers have a pleasing light fragrance. Blooms at an early age. Very useful in shrub borders.,4,-30°,,Fast growing to 12 f,,,,Spring,,,,"Deciduous; Though technically a tree, grow this big flowering Magnolia as a large shrub.",80,,,,,
7,Dolgo Crab Apple,Malus,MAY-lus,,"And it s one of the fastest growing shade trees, growing up to 6 to 8 feet in one year...",3,-40°,,20-25,20-30,,,Mid Spring/ August,,,,"Deciduous; Flowering Group 2; Diploid; Self-fertile and does not require a pollinator nearby, but will be more fruitful if planted by the following pollinators: Cortland; Frostbite; McIntosh; SnowSweet; Sweet Sixteen; WineCrisp; Zestar; White blossoms; Foliage: Green; Fall Foliage: Yellow",0,,,,,
8,Hopa Crab Apple,Malus,MAY-lus,,A beautiful flowering tree that blooms with rose-pink flowers that later turn into edible 1-inch fruit. Fruit is ideal for jelly.,2,-50°,,15-25,44854,,,Mid Spring/ Early-Late Fall,,,,Deciduous; Pink blossoms; Foliage: Green; Fall Foliage: Yellow,0,,,,,
9,Red Barron Crab Apple,Malus,MAY-lus,,"A small ornamental tree. Each spring, Red Barron drapes itself in striking clusters of fragrant red flowers that virtually cover the branches in scarlet intensity! As the season progresses, the foliage emerges a coppery bronze, transitioning to dark green, before clothing your tree in brilliant orange for autumn. Cherry-sized fruit ripen in early to late fall and often persist through the winter months and attract birds.",4,-30°,,15-20,44720,,,Mid Spring/ Early-Late Fall,,,,Deciduous; Red blossoms; Foliage: Green; Fall Foliage: Orange; Attracts birds; butterflies,0,,,,,
